Latitude (decimal degrees):	35.697
Longitude (decimal degrees):	104.011
Elevation (m):	3235
Radiation database:	PVGIS-ERA5


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220104:0430,815.6,965.96,30.86,-0.91,1.66,0.0
20220104:0530,810.71,976.95,31.36,0.52,1.17,0.0
20220104:0630,751.98,906.09,28.49,1.56,0.9,0.0
20220104:0730,607.96,714.43,22.69,1.41,0.9,0.0
20220104:0830,371.4,431.06,14.64,1.59,0.97,0.0
20220104:0930,127.31,164.11,5.0,1.06,1.03,0.0
20220104:1030,0.0,0.0,0.0,-0.51,0.9,0.0
20220104:1130,0.0,0.0,0.0,-2.23,0.83,0.0
20220104:1230,0.0,0.0,0.0,-3.45,0.97,0.0
20220104:1330,0.0,0.0,0.0,-4.06,0.9,0.0
20220104:1430,0.0,0.0,0.0,-4.51,0.69,0.0
20220104:1530,0.0,0.0,0.0,-4.96,0.76,0.0
20220104:1630,0.0,0.0,0.0,-5.28,0.83,0.0
20220104:1730,0.0,0.0,0.0,-5.45,0.9,0.0
20220104:1830,0.0,0.0,0.0,-5.47,0.9,0.0
20220104:1930,0.0,0.0,0.0,-6.23,1.03,0.0
20220104:2030,0.0,0.0,0.0,-6.87,1.17,0.0
20220104:2130,0.0,0.0,0.0,-7.28,1.24,0.0
20220104:2230,0.0,0.0,0.0,-7.6,1.24,0.0
20220104:2330,0.0,0.0,0.0,-7.48,1.03,0.0
20220105:0030,4.23,13.47,1.99,-7.1,0.62,0.0
20220105:0130,36.07,54.0,12.0,-7.06,0.41,0.0
20220105:0230,530.29,606.23,20.59,-4.55,0.21,0.0
20220105:0330,696.28,827.05,27.14,-1.6,0.34,0.0
20220105:0430,771.95,949.5,30.95,0.72,0.14,0.0
20220105:0530,801.35,990.2,31.47,2.38,0.55,0.0
20220105:0630,759.22,923.04,28.62,3.45,1.03,0.0
20220105:0730,625.68,736.89,22.83,3.45,1.59,0.0
20220105:0830,442.16,514.07,14.79,3.19,1.79,0.0
20220105:0930,167.35,210.99,5.15,2.15,1.66,0.0
20220105:1030,0.0,0.0,0.0,-0.09,1.86,0.0
20220105:1130,0.0,0.0,0.0,-3.05,1.79,0.0
20220105:1230,0.0,0.0,0.0,-5.1,1.38,0.0
20220105:1330,0.0,0.0,0.0,-4.97,0.97,0.0
20220105:1430,0.0,0.0,0.0,-5.38,0.69,0.0
20220105:1530,0.0,0.0,0.0,-5.86,0.62,0.0
20220105:1630,0.0,0.0,0.0,-6.41,0.55,0.0
20220105:1730,0.0,0.0,0.0,-6.8,0.41,0.0
20220105:1830,0.0,0.0,0.0,-7.03,0.41,0.0
20220105:1930,0.0,0.0,0.0,-7.46,0.55,0.0
20220105:2030,0.0,0.0,0.0,-7.62,0.41,0.0
20220105:2130,0.0,0.0,0.0,-8.06,0.41,0.0
20220105:2230,0.0,0.0,0.0,-8.22,0.34,0.0
20220105:2330,0.0,0.0,0.0,-8.45,0.41,0.0
20220106:0030,3.82,12.72,1.99,-8.79,0.55,0.0
20220106:0130,42.21,60.73,12.02,-8.24,0.76,0.0
20220106:0230,522.34,587.2,20.63,-5.39,1.03,0.0
20220106:0330,691.01,794.5,27.21,-2.59,1.72,0.0
20220106:0430,777.41,911.18,31.05,-0.41,2.07,0.0
20220106:0530,786.9,929.17,31.6,1.17,2.21,0.0
20220106:0630,652.51,758.31,28.76,2.19,2.48,0.0
20220106:0730,550.32,630.86,22.98,2.1,2.83,0.0
20220106:0830,378.64,433.86,14.94,1.9,2.97,0.0
20220106:0930,120.82,155.63,5.3,0.87,2.69,0.0
20220106:1030,0.0,0.0,0.0,-1.36,2.62,0.0
20220106:1130,0.0,0.0,0.0,-3.55,2.28,0.0
20220106:1230,0.0,0.0,0.0,-4.96,1.93,0.0
20220106:1330,0.0,0.0,0.0,-6.18,1.52,0.0
20220106:1430,0.0,0.0,0.0,-6.58,0.97,0.0
20220106:1530,0.0,0.0,0.0,-6.21,0.62,0.0
20220106:1630,0.0,0.0,0.0,-6.54,0.55,0.0
20220106:1730,0.0,0.0,0.0,-6.79,0.62,0.0
20220106:1830,0.0,0.0,0.0,-6.84,0.55,0.0
20220106:1930,0.0,0.0,0.0,-6.83,0.41,0.0
20220106:2030,0.0,0.0,0.0,-6.83,0.41,0.0
20220106:2130,0.0,0.0,0.0,-6.89,0.41,0.0
20220106:2230,0.0,0.0,0.0,-7.07,0.62,0.0
20220106:2330,0.0,0.0,0.0,-7.25,0.62,0.0
20220107:0030,2.8,11.06,1.99,-7.66,0.76,0.0
20220107:0130,38.75,56.93,12.04,-7.64,0.83,0.0
20220107:0230,546.98,618.5,20.68,-4.37,1.1,0.0
20220107:0330,707.17,822.3,27.29,-1.7,1.45,0.0
20220107:0430,765.06,902.93,31.16,0.37,1.86,0.0
20220107:0530,675.46,789.49,31.73,1.65,2.14,0.0
20220107:0630,572.72,659.87,28.91,2.21,2.41,0.0
20220107:0730,379.85,434.37,23.14,1.74,2.55,0.0
20220107:0830,149.79,181.92,15.1,1.39,2.41,0.0
20220107:0930,22.54,39.32,5.46,0.46,2.0,0.0
20220107:1030,0.0,0.0,0.0,-0.98,1.52,0.0
20220107:1130,0.0,0.0,0.0,-2.2,1.1,0.0
20220107:1230,0.0,0.0,0.0,-3.14,0.76,0.0
20220107:1330,0.0,0.0,0.0,-3.42,0.28,0.0
20220107:1430,0.0,0.0,0.0,-3.82,0.14,0.0
20220107:1530,0.0,0.0,0.0,-4.05,0.21,0.0
20220107:1630,0.0,0.0,0.0,-4.32,0.21,0.0
20220107:1730,0.0,0.0,0.0,-4.67,0.34,0.0
20220107:1830,0.0,0.0,0.0,-5.05,0.41,0.0
20220107:1930,0.0,0.0,0.0,-5.71,0.21,0.0
20220107:2030,0.0,0.0,0.0,-5.76,0.21,0.0
20220107:2130,0.0,0.0,0.0,-6.11,0.14,0.0
20220107:2230,0.0,0.0,0.0,-6.43,0.34,0.0
20220107:2330,0.0,0.0,0.0,-6.73,0.48,0.0
20220108:0030,3.62,12.46,2.0,-7.25,0.62,0.0
20220108:0130,40.8,59.38,12.07,-7.23,0.48,0.0
20220108:0230,522.38,590.52,20.74,-5.1,0.69,0.0
20220108:0330,695.63,807.5,27.37,-2.68,1.1,0.0
20220108:0430,779.36,918.46,31.27,-0.74,1.66,0.0
20220108:0530,753.73,885.21,31.87,0.72,2.07,0.0
20220108:0630,764.26,901.56,29.06,1.64,2.14,0.0
20220108:0730,648.8,752.71,23.3,2.15,2.41,0.0
20220108:0830,444.53,512.57,15.26,2.05,2.07,0.0
20220108:0930,172.31,215.13,5.62,1.24,1.72,0.0
20220108:1030,0.0,0.0,-5.12,-0.52,1.72,0.0
20220108:1130,0.0,0.0,0.0,-3.03,1.66,0.0
20220108:1230,0.0,0.0,0.0,-5.0,1.45,0.0
20220108:1330,0.0,0.0,0.0,-5.39,1.24,0.0
20220108:1430,0.0,0.0,0.0,-5.68,1.24,0.0
20220108:1530,0.0,0.0,0.0,-5.6,1.1,0.0
20220108:1630,0.0,0.0,0.0,-5.24,0.97,0.0
20220108:1730,0.0,0.0,0.0,-5.72,1.1,0.0
20220108:1830,0.0,0.0,0.0,-6.23,1.31,0.0
20220108:1930,0.0,0.0,0.0,-6.4,1.45,0.0
20220108:2030,0.0,0.0,0.0,-7.01,1.79,0.0
20220108:2130,0.0,0.0,0.0,-7.35,1.79,0.0
20220108:2230,0.0,0.0,0.0,-7.4,1.52,0.0
20220108:2330,0.0,0.0,0.0,-7.35,1.24,0.0
20220109:0030,4.89,14.47,2.02,-7.6,1.24,0.0
20220109:0130,35.76,53.6,12.11,-7.12,0.9,0.0
20220109:0230,597.05,679.01,20.8,-4.55,1.03,0.0
20220109:0330,745.99,863.67,27.46,-2.03,1.93,0.0
20220109:0430,824.8,976.49,31.39,-0.07,2.0,0.0
20220109:0530,819.54,995.24,32.01,1.27,1.1,0.0
20220109:0630,759.36,903.5,29.23,2.28,1.79,0.0
20220109:0730,611.98,709.87,23.46,2.44,2.28,0.0
20220109:0830,363.64,416.9,15.42,2.07,3.1,0.0
20220109:0930,123.89,158.02,5.78,0.74,3.59,0.0
20220109:1030,0.0,0.0,-4.96,-1.7,3.52,0.0
20220109:1130,0.0,0.0,0.0,-3.88,3.72,0.0
20220109:1230,0.0,0.0,0.0,-5.02,3.72,0.0
20220109:1330,0.0,0.0,0.0,-5.95,3.03,0.0
20220109:1430,0.0,0.0,0.0,-6.36,2.83,0.0
20220109:1530,0.0,0.0,0.0,-6.72,2.34,0.0
20220109:1630,0.0,0.0,0.0,-6.96,1.93,0.0
20220109:1730,0.0,0.0,0.0,-7.26,1.52,0.0
20220109:1830,0.0,0.0,0.0,-7.61,1.31,0.0
20220109:1930,0.0,0.0,0.0,-8.04,1.24,0.0
20220109:2030,0.0,0.0,0.0,-8.16,1.52,0.0
20220109:2130,0.0,0.0,0.0,-8.69,1.52,0.0
20220109:2230,0.0,0.0,0.0,-8.97,1.52,0.0
20220109:2330,0.0,0.0,0.0,-9.21,1.45,0.0
20220110:0030,5.71,15.65,2.04,-9.2,1.31,0.0
20220110:0130,50.77,70.0,12.15,-9.33,1.1,0.0
20220110:0230,577.85,642.61,20.87,-8.19,1.24,0.0
20220110:0330,748.7,853.84,27.56,-6.43,1.52,0.0
20220110:0430,839.36,978.86,31.52,-4.84,1.59,0.0
20220110:0530,824.78,969.2,32.16,-3.56,1.45,0.0
20220110:0630,774.53,907.24,29.39,-2.69,1.38,0.0
20220110:0730,641.64,739.64,23.63,-2.1,1.31,0.0
20220110:0830,468.46,536.2,15.59,-2.01,0.97,0.0
20220110:0930,202.01,245.18,5.94,-2.44,1.1,0.0
20220110:1030,0.0,0.0,-4.8,-3.6,1.66,0.0
20220110:1130,0.0,0.0,0.0,-5.41,1.79,0.0
20220110:1230,0.0,0.0,0.0,-6.93,1.86,0.0
20220110:1330,0.0,0.0,0.0,-7.88,2.0,0.0
20220110:1430,0.0,0.0,0.0,-8.43,2.0,0.0
20220110:1530,0.0,0.0,0.0,-8.79,1.86,0.0
20220110:1630,0.0,0.0,0.0,-9.1,1.66,0.0
20220110:1730,0.0,0.0,0.0,-9.38,1.38,0.0
20220110:1830,0.0,0.0,0.0,-9.3,1.1,0.0
20220110:1930,0.0,0.0,0.0,-9.39,1.17,0.0
20220110:2030,0.0,0.0,0.0,-9.27,0.9,0.0
20220110:2130,0.0,0.0,0.0,-8.92,0.55,0.0
20220110:2230,0.0,0.0,0.0,-9.13,0.28,0.0
20220110:2330,0.0,0.0,0.0,-9.37,0.41,0.0
20220111:0030,3.92,12.85,2.07,-9.56,0.48,0.0
20220111:0130,34.54,51.81,12.2,-9.23,0.41,0.0
20220111:0230,585.86,670.48,20.94,-6.11,0.14,0.0
20220111:0330,676.21,796.5,27.66,-3.18,0.21,0.0
20220111:0430,772.04,928.51,31.65,-0.98,0.62,0.0
20220111:0530,767.67,918.63,32.32,0.6,1.17,0.0
20220111:0630,727.51,860.46,29.57,1.48,1.66,0.0
20220111:0730,618.61,717.1,23.81,1.08,1.79,0.0
20220111:0830,450.23,515.29,15.77,0.85,2.28,0.0
20220111:0930,196.54,240.03,6.11,-0.02,2.62,0.0
20220111:1030,0.0,0.0,-4.63,-2.15,2.41,0.0
20220111:1130,0.0,0.0,0.0,-4.39,2.21,0.0
20220111:1230,0.0,0.0,0.0,-5.89,1.86,0.0
20220111:1330,0.0,0.0,0.0,-6.92,1.72,0.0
20220111:1430,0.0,0.0,0.0,-7.61,1.72,0.0
20220111:1530,0.0,0.0,0.0,-8.04,1.79,0.0
20220111:1630,0.0,0.0,0.0,-8.31,2.0,0.0
20220111:1730,0.0,0.0,0.0,-8.56,2.14,0.0
20220111:1830,0.0,0.0,0.0,-8.8,2.21,0.0
20220111:1930,0.0,0.0,0.0,-8.82,2.14,0.0
20220111:2030,0.0,0.0,0.0,-8.38,2.0,0.0
20220111:2130,0.0,0.0,0.0,-8.72,1.72,0.0
20220111:2230,0.0,0.0,0.0,-9.0,1.52,0.0
20220111:2330,0.0,0.0,0.0,-9.53,1.59,0.0
20220112:0030,4.78,14.21,2.11,-9.79,1.24,0.0
20220112:0130,39.41,57.15,12.26,-10.11,1.03,0.0
20220112:0230,575.87,635.31,21.02,-9.18,1.45,0.0
20220112:0330,741.36,829.6,27.78,-7.63,2.28,0.0
20220112:0430,829.55,939.05,31.79,-6.06,2.97,0.0
20220112:0530,797.12,900.01,32.49,-4.96,3.38,0.0
20220112:0630,740.15,832.35,29.75,-4.52,3.31,0.0
20220112:0730,616.4,688.24,23.99,-3.89,3.1,0.0
20220112:0830,421.0,469.15,15.95,-4.18,2.76,0.0
20220112:0930,146.49,179.17,6.29,-4.89,2.21,0.0
20220112:1030,0.0,0.0,-4.47,-6.14,1.72,0.0
20220112:1130,0.0,0.0,0.0,-7.46,1.79,0.0
20220112:1230,0.0,0.0,0.0,-8.52,1.93,0.0
20220112:1330,0.0,0.0,0.0,-9.24,2.0,0.0
20220112:1430,0.0,0.0,0.0,-9.7,1.93,0.0
20220112:1530,0.0,0.0,0.0,-9.98,1.86,0.0
20220112:1630,0.0,0.0,0.0,-10.16,1.72,0.0
20220112:1730,0.0,0.0,0.0,-10.37,1.66,0.0
20220112:1830,0.0,0.0,0.0,-10.51,1.66,0.0
20220112:1930,0.0,0.0,0.0,-10.32,1.86,0.0
20220112:2030,0.0,0.0,0.0,-10.37,1.86,0.0
20220112:2130,0.0,0.0,0.0,-10.57,1.72,0.0
20220112:2230,0.0,0.0,0.0,-11.04,1.52,0.0
20220112:2330,0.0,0.0,0.0,-11.58,1.31,0.0
20220113:0030,4.85,14.21,2.15,-11.91,1.03,0.0
20220113:0130,52.22,71.22,12.32,-10.84,0.76,0.0
20220113:0230,519.31,576.1,21.11,-7.64,1.31,0.0
20220113:0330,687.15,780.81,27.89,-4.83,1.79,0.0
20220113:0430,651.42,746.97,31.94,-2.44,1.86,0.0
20220113:0530,686.87,796.96,32.66,-1.13,1.79,0.0
20220113:0630,662.31,769.17,29.93,-0.1,1.79,0.0
20220113:0730,530.34,605.69,24.18,0.66,2.41,0.0
20220113:0830,400.85,456.6,16.13,0.52,2.69,0.0
20220113:0930,162.78,200.72,6.46,-0.33,2.83,0.0
20220113:1030,0.0,0.0,-4.3,-2.29,2.41,0.0
20220113:1130,0.0,0.0,0.0,-4.16,2.28,0.0
20220113:1230,0.0,0.0,0.0,-5.47,1.86,0.0
20220113:1330,0.0,0.0,0.0,-6.54,1.03,0.0
20220113:1430,0.0,0.0,0.0,-6.46,0.48,0.0
20220113:1530,0.0,0.0,0.0,-6.77,0.34,0.0
20220113:1630,0.0,0.0,0.0,-7.1,0.28,0.0
20220113:1730,0.0,0.0,0.0,-7.47,0.62,0.0
20220113:1830,0.0,0.0,0.0,-7.99,0.69,0.0
20220113:1930,0.0,0.0,0.0,-8.26,0.69,0.0
20220113:2030,0.0,0.0,0.0,-8.8,0.83,0.0
20220113:2130,0.0,0.0,0.0,-9.17,1.45,0.0
20220113:2230,0.0,0.0,0.0,-9.34,1.59,0.0
20220113:2330,0.0,0.0,0.0,-9.45,1.52,0.0
20220114:0030,4.03,13.03,2.19,-9.53,1.66,0.0
20220114:0130,30.68,47.26,12.39,-9.49,1.38,0.0
20220114:0230,622.76,704.64,21.21,-6.06,1.1,0.0
20220114:0330,768.86,893.04,28.02,-3.74,1.45,0.0
20220114:0430,841.57,998.18,32.1,-2.35,1.45,0.0
20220114:0530,846.66,1017.56,32.84,-1.33,1.17,0.0
20220114:0630,791.19,948.45,30.12,-0.57,0.97,0.0
20220114:0730,680.37,792.24,24.38,-0.21,1.59,0.0
20220114:0830,473.57,541.55,16.32,-0.1,1.93,0.0
20220114:0930,200.33,243.2,6.64,-0.63,2.21,0.0
20220114:1030,0.0,0.0,-4.13,-2.27,2.28,0.0
20220114:1130,0.0,0.0,0.0,-3.96,2.07,0.0
20220114:1230,0.0,0.0,0.0,-5.18,2.0,0.0
20220114:1330,0.0,0.0,0.0,-6.21,2.0,0.0
20220114:1430,0.0,0.0,0.0,-6.54,1.66,0.0
20220114:1530,0.0,0.0,0.0,-6.57,1.24,0.0
20220114:1630,0.0,0.0,0.0,-6.49,1.1,0.0
20220114:1730,0.0,0.0,0.0,-6.91,1.38,0.0
20220114:1830,0.0,0.0,0.0,-7.53,1.59,0.0
20220114:1930,0.0,0.0,0.0,-6.91,1.79,0.0
20220114:2030,0.0,0.0,0.0,-6.7,1.72,0.0
20220114:2130,0.0,0.0,0.0,-6.63,1.86,0.0
20220114:2230,0.0,0.0,0.0,-6.3,1.93,0.0
20220114:2330,0.0,0.0,0.0,-6.78,1.79,0.0
20220115:0030,5.25,15.04,2.25,-7.35,1.66,0.0
20220115:0130,33.89,51.37,12.46,-7.3,1.59,0.0
20220115:0230,613.89,695.45,21.31,-4.03,1.66,0.0
20220115:0330,752.12,860.89,28.15,-1.94,2.9,0.0
20220115:0430,816.78,945.88,32.26,-0.68,3.17,0.0
20220115:0530,815.57,952.36,33.03,0.17,2.83,0.0
20220115:0630,792.54,932.73,30.32,0.68,2.28,0.0
20220115:0730,680.58,799.67,24.57,0.64,1.31,0.0
20220115:0830,487.94,562.88,16.51,0.75,1.52,0.0
20220115:0930,215.58,261.88,6.83,0.3,1.79,0.0
20220115:1030,0.0,0.0,-3.95,-1.14,1.72,0.0
20220115:1130,0.0,0.0,0.0,-3.31,1.86,0.0
20220115:1230,0.0,0.0,0.0,-5.03,1.86,0.0
20220115:1330,0.0,0.0,0.0,-6.12,1.72,0.0
20220115:1430,0.0,0.0,0.0,-6.25,1.38,0.0
20220115:1530,0.0,0.0,0.0,-6.07,1.17,0.0
20220115:1630,0.0,0.0,0.0,-6.35,1.31,0.0
20220115:1730,0.0,0.0,0.0,-6.71,1.31,0.0
20220115:1830,0.0,0.0,0.0,-6.21,0.97,0.0
20220115:1930,0.0,0.0,0.0,-5.84,0.83,0.0
20220115:2030,0.0,0.0,0.0,-6.03,0.69,0.0
20220115:2130,0.0,0.0,0.0,-6.5,0.83,0.0
20220115:2230,0.0,0.0,0.0,-7.71,1.03,0.0
20220115:2330,0.0,0.0,0.0,-7.99,0.9,0.0
20220116:0030,4.05,13.12,2.3,-8.45,0.76,0.0
20220116:0130,30.85,47.61,12.54,-8.76,0.76,0.0
20220116:0230,624.14,716.54,21.41,-4.86,0.62,0.0
20220116:0330,769.91,911.51,28.29,-1.83,1.03,0.0
20220116:0430,848.73,1023.46,32.43,0.6,1.52,0.0
20220116:0530,871.53,1044.38,33.22,2.57,2.62,0.0
20220116:0630,829.44,974.02,30.52,3.75,4.07,0.0
20220116:0730,709.97,818.44,24.78,3.84,4.69,0.0
20220116:0830,508.62,583.63,16.71,3.56,4.07,0.0
20220116:0930,233.24,284.2,7.01,2.75,2.48,0.0
20220116:1030,0.0,0.0,-3.77,1.01,1.1,0.0
20220116:1130,0.0,0.0,0.0,-0.49,0.55,0.0
20220116:1230,0.0,0.0,0.0,-1.33,0.62,0.0
20220116:1330,0.0,0.0,0.0,-1.82,0.48,0.0
20220116:1430,0.0,0.0,0.0,-2.27,0.21,0.0
20220116:1530,0.0,0.0,0.0,-2.87,0.21,0.0
20220116:1630,0.0,0.0,0.0,-5.24,1.52,0.0
20220116:1730,0.0,0.0,0.0,-7.39,2.34,0.0
20220116:1830,0.0,0.0,0.0,-7.96,2.28,0.0
20220116:1930,0.0,0.0,0.0,-8.79,1.93,0.0
20220116:2030,0.0,0.0,0.0,-9.23,1.45,0.0
20220116:2130,0.0,0.0,0.0,-9.01,1.03,0.0
20220116:2230,0.0,0.0,0.0,-8.51,0.62,0.0
20220116:2330,0.0,0.0,0.0,-8.7,0.48,0.0
20220117:0030,4.14,13.25,2.37,-8.89,0.48,0.0
20220117:0130,30.31,47.0,12.63,-8.72,0.34,0.0
20220117:0230,633.73,729.49,21.53,-5.43,0.41,0.0
20220117:0330,779.51,918.28,28.44,-2.27,1.24,0.0
20220117:0430,853.1,1029.83,32.61,0.07,1.38,0.0
20220117:0530,857.23,1051.38,33.42,1.8,1.17,0.0
20220117:0630,799.72,978.52,30.73,3.03,1.03,0.0
20220117:0730,671.91,821.1,24.98,3.57,0.14,0.0
20220117:0830,496.57,587.4,16.91,3.66,0.69,0.0
20220117:0930,232.87,285.2,7.2,3.07,1.45,0.0
20220117:1030,0.0,0.0,-3.6,1.17,1.66,0.0
20220117:1130,0.0,0.0,0.0,-2.54,1.59,0.0
20220117:1230,0.0,0.0,0.0,-3.95,1.45,0.0
20220117:1330,0.0,0.0,0.0,-3.79,1.17,0.0
20220117:1430,0.0,0.0,0.0,-4.03,0.76,0.0
20220117:1530,0.0,0.0,0.0,-4.42,0.48,0.0
20220117:1630,0.0,0.0,0.0,-4.91,0.41,0.0
20220117:1730,0.0,0.0,0.0,-5.31,0.34,0.0
20220117:1830,0.0,0.0,0.0,-5.57,0.21,0.0
20220117:1930,0.0,0.0,0.0,-5.61,0.28,0.0
20220117:2030,0.0,0.0,0.0,-5.75,0.41,0.0
20220117:2130,0.0,0.0,0.0,-6.16,0.69,0.0
20220117:2230,0.0,0.0,0.0,-6.92,0.83,0.0
20220117:2330,0.0,0.0,0.0,-7.51,0.83,0.0
20220118:0030,4.29,13.51,2.44,-8.1,0.9,0.0
20220118:0130,30.57,47.4,12.72,-8.12,0.76,0.0
20220118:0230,623.23,720.65,21.65,-3.94,0.48,0.0
20220118:0330,764.59,913.63,28.59,-0.22,0.97,0.0
20220118:0430,839.03,1023.94,32.79,2.24,1.31,0.0
20220118:0530,854.72,1045.46,33.62,3.99,1.79,0.0
20220118:0630,806.23,977.7,30.94,5.13,2.07,0.0
20220118:0730,692.87,821.36,25.19,5.18,2.41,0.0
20220118:0830,499.32,585.94,17.11,5.14,2.0,0.0
20220118:0930,233.06,287.56,7.39,4.37,0.97,0.0
20220118:1030,0.0,0.0,-3.41,2.98,0.28,0.0
20220118:1130,0.0,0.0,0.0,1.65,0.07,0.0
20220118:1230,0.0,0.0,0.0,0.65,0.07,0.0
20220118:1330,0.0,0.0,0.0,-0.07,0.14,0.0
20220118:1430,0.0,0.0,0.0,-0.57,0.28,0.0
20220118:1530,0.0,0.0,0.0,-1.12,0.21,0.0
20220118:1630,0.0,0.0,0.0,-1.7,0.14,0.0
20220118:1730,0.0,0.0,0.0,-2.19,0.07,0.0
20220118:1830,0.0,0.0,0.0,-2.55,0.0,0.0
20220118:1930,0.0,0.0,0.0,-2.67,0.14,0.0
20220118:2030,0.0,0.0,0.0,-2.71,0.21,0.0
